iter	Passed	Remaining
0	1	196
1	3	186
2	5	178
3	7	177
4	11	212
5	14	224
6	16	214
7	18	210
8	20	207
9	23	210
10	25	206
11	27	200
12	29	196
13	31	194
14	34	196
15	37	195
16	39	191
17	41	188
18	44	188
19	47	189
20	49	187
21	51	183
22	54	181
23	57	182
24	61	183
25	63	180
26	65	176
27	67	173
28	71	173
29	74	173
30	76	170
31	78	167
32	80	163
33	83	162
34	86	160
35	88	156
36	90	153
37	92	150
38	95	149
39	98	147
40	101	145
41	102	141
42	104	138
43	108	138
44	110	135
45	113	132
46	115	130
47	117	126
48	121	126
49	123	123
50	125	120
51	127	117
52	130	115
53	134	114
54	136	112
55	138	109
56	140	106
57	143	103
58	146	101
59	148	99
60	150	96
61	152	93
62	154	90
63	158	89
64	161	87
65	163	84
66	165	81
67	168	79
68	172	77
69	174	74
70	176	71
71	178	69
72	181	67
73	184	64
74	185	61
75	188	59
76	190	56
77	235	66
78	238	63
79	240	60
80	243	57
81	246	54
82	250	51
83	252	48
84	258	45
85	262	42
86	264	39
87	284	38
88	286	35
89	289	32
90	291	28
91	294	25
92	302	22
93	304	19
94	311	16
95	314	13
96	316	9
97	318	6
98	320	3
99	322	0
