iter	Passed	Remaining
0	2	2927
1	5	2649
2	7	2397
3	8	2222
4	10	2134
5	12	2074
6	14	2026
7	16	2024
8	18	2032
9	20	2015
10	22	2007
11	24	1989
12	26	1977
13	27	1961
14	29	1950
15	31	1960
16	34	1979
17	36	1968
18	37	1956
19	39	1946
20	41	1943
21	43	1942
22	47	1999
23	48	1989
24	50	1978
25	52	1965
26	54	1955
27	56	1947
28	57	1937
29	60	1950
30	62	1942
31	63	1933
32	65	1925
33	67	1926
34	69	1918
35	71	1911
36	73	1905
37	75	1911
38	77	1917
39	80	1939
40	82	1939
41	86	1972
42	88	1974
43	90	1970
44	92	1969
45	96	1992
46	98	1989
47	100	1984
48	101	1979
49	104	1976
50	106	1974
51	108	1986
52	110	1981
53	112	1976
54	114	1969
55	116	1965
56	118	1963
57	120	1957
58	122	1958
59	124	1951
60	126	1948
61	128	1943
62	130	1936
63	132	1931
64	133	1924
65	135	1923
66	138	1927
67	140	1924
68	142	1919
69	144	1913
70	146	1922
71	148	1920
72	151	1919
73	153	1916
74	154	1910
75	156	1905
76	158	1900
77	160	1894
78	162	1888
79	164	1886
80	166	1885
81	168	1881
82	169	1868
83	170	1863
84	172	1858
85	174	1854
86	176	1849
87	178	1846
88	180	1847
89	182	1846
90	184	1844
91	186	1839
92	188	1834
93	189	1830
94	191	1825
95	193	1826
96	195	1823
97	197	1820
98	199	1815
99	201	1816
100	203	1815
101	206	1815
102	208	1816
103	210	1814
104	212	1810
105	214	1806
106	215	1802
107	217	1799
108	219	1794
109	221	1790
110	223	1789
111	225	1787
112	227	1783
113	229	1780
114	230	1776
115	232	1773
116	234	1766
117	236	1766
118	238	1763
119	239	1759
120	241	1756
121	243	1750
122	245	1747
123	248	1754
124	250	1755
125	252	1754
126	254	1750
127	256	1747
128	258	1745
129	260	1741
130	262	1738
131	263	1734
132	265	1731
133	267	1729
134	269	1728
135	271	1725
136	273	1723
137	275	1719
138	277	1716
139	279	1714
140	281	1712
141	282	1708
142	284	1707
143	287	1706
144	289	1704
145	291	1703
146	293	1704
147	295	1703
148	298	1702
149	300	1701
150	301	1697
151	303	1694
152	305	1692
153	307	1689
154	309	1687
155	311	1686
156	314	1686
157	315	1683
158	317	1680
159	319	1677
160	321	1673
161	322	1670
162	325	1670
163	327	1670
164	329	1668
165	331	1664
166	333	1663
167	335	1661
168	337	1660
169	340	1660
170	342	1658
171	343	1655
172	345	1653
173	348	1652
174	349	1649
175	352	1648
176	354	1646
177	355	1643
178	357	1640
179	359	1639
180	362	1638
181	363	1634
182	365	1631
183	368	1634
184	370	1632
185	372	1628
186	374	1627
187	377	1628
188	379	1627
189	381	1625
190	383	1622
191	385	1621
192	387	1620
193	389	1617
194	391	1614
195	393	1612
196	395	1610
197	397	1608
198	399	1606
199	400	1603
200	402	1601
